,Country,Tender name,Auction format,Technology,Year,Capacity (GW),Additional comment,market_type,devex,variable_capex,fixed_capex,capex,other_strength,price_strength,deliverability_strength,predicted_success,true_price,true_capacity,assessment_score
45,United Kingdom,CfD 7,Central,Fixed,2025,4.0,,core,75000000.0,80000000000.0,0.0,80000000000.0,1.0,1.0,1.0,1.0,80075000000.0,4.0,4.995316890415236
50,Poland,2nd Price Auction (2nd Wave),Central,Fixed,2025,2.5,,adjacent,100000000.0,50000000000.0,0.0,50000000000.0,1.0,1.0,1.0,1.0,50100000000.0,2.5,4.990019960079841
49,Norway,Sørlige Nordsjø II Site 2,Central,Fixed,2025,1.5,,adjacent,100000000.0,30000000000.0,0.0,30000000000.0,1.0,1.0,1.0,1.0,30100000000.0,1.5,4.983388704318937
42,Germany,2025 Auction,Central,Fixed,2025,5.0,,core,75000000.0,100000000000.0,400000000.0,100400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,77910622916.66666,3.8762760416666664,4.975285649830753
29,Taiwan,Round Three Centralized Auction 3,Central,Optional,2024,3.0,,core,75000000.0,60000000000.0,250000000.0,60250000000.0,0.55,0.8,1.0,0.8055781249999999,48611082031.24999,2.416734375,4.971570831207551
11,Taiwan,Round Three Centralized Auction 2,Central,Fixed,2023,3.0,,core,75000000.0,60000000000.0,250000000.0,60250000000.0,0.55,0.8,1.0,0.8055781249999999,48611082031.24999,2.416734375,4.971570831207551
13,Lithuania,Round 1,Central,Fixed,2023,0.7,,adjacent,100000000.0,14000000000.0,0.0,14000000000.0,1.0,1.0,1.0,1.0,14100000000.0,0.7,4.964539007092198
47,Lithuania,Round 2,Central,Fixed,2025,0.7,,adjacent,100000000.0,14000000000.0,0.0,14000000000.0,1.0,1.0,1.0,1.0,14100000000.0,0.7,4.964539007092198
46,Japan,Round 5,Central,Fixed,2025,2.0,,new,125000000.0,40000000000.0,150000000.0,40150000000.0,0.4,0.9,1.0,0.8480625,34174709375.000004,1.696125,4.963099997101292
48,Netherlands,Nederwiek South I,Central,Fixed,2025,2.0,,core,75000000.0,40000000000.0,300000000.0,40300000000.0,0.675,0.8,1.0,0.8238203125,33274958593.75,1.647640625,4.951593314107007
25,Japan,Round 3,Central,Fixed,2024,1.5,,new,125000000.0,30000000000.0,150000000.0,30150000000.0,0.4,0.9,1.0,0.8480625,25694084375.0,1.27209375,4.950920731145922
1,Denmark,Bornholm (2/3),Central,Fixed,2023,1.3,,core,75000000.0,26000000000.0,200000000.0,26200000000.0,0.65,0.9,1.0,0.8845468750000001,23250128125.0,1.1499109375,4.9458262393984125
0,Denmark,Bornholm (1/3),Central,Fixed,2023,1.3,,core,75000000.0,26000000000.0,200000000.0,26200000000.0,0.65,0.9,1.0,0.8845468750000001,23250128125.0,1.1499109375,4.9458262393984125
2,Denmark,Bornholm (3/3),Central,Fixed,2023,1.3,,core,75000000.0,26000000000.0,200000000.0,26200000000.0,0.65,0.9,1.0,0.8845468750000001,23250128125.0,1.1499109375,4.9458262393984125
24,Denmark,Hesselø,Central,Fixed,2024,1.2,,core,75000000.0,24000000000.0,200000000.0,24200000000.0,0.65,0.9,1.0,0.8845468750000001,21481034375.0,1.06145625,4.9413647009258606
34,Japan,Round 5,Central,Optional,2025,1.25,,new,125000000.0,25000000000.0,150000000.0,25150000000.0,0.4,0.9,1.0,0.8480625,21453771875.0,1.060078125,4.941220272018017
32,Japan,Round 4,Central,Optional,2024,1.25,,new,125000000.0,25000000000.0,150000000.0,25150000000.0,0.4,0.9,1.0,0.8480625,21453771875.0,1.060078125,4.941220272018017
26,Germany,Germany N-9.1,Central,Fixed,2024,2.0,,core,75000000.0,40000000000.0,400000000.0,40400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,31395310416.666664,1.5505104166666666,4.938668852414198
3,Germany,Germany N-11.1,Central,Fixed,2023,2.0,,core,75000000.0,40000000000.0,400000000.0,40400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,31395310416.666664,1.5505104166666666,4.938668852414198
4,Germany,Germany N-12.1,Central,Fixed,2023,2.0,,core,75000000.0,40000000000.0,400000000.0,40400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,31395310416.666664,1.5505104166666666,4.938668852414198
5,Germany,Germany N-12.2,Central,Fixed,2023,2.0,,core,75000000.0,40000000000.0,400000000.0,40400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,31395310416.666664,1.5505104166666666,4.938668852414198
36,Germany,Germany N-10.1,Central,Fixed,2025,2.0,,core,75000000.0,40000000000.0,400000000.0,40400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,31395310416.666664,1.5505104166666666,4.938668852414198
27,Germany,Germany N-9.2,Central,Fixed,2024,2.0,,core,75000000.0,40000000000.0,400000000.0,40400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,31395310416.666664,1.5505104166666666,4.938668852414198
12,Japan,Round 2.2,Central,Optional,2023,0.9,,new,125000000.0,18000000000.0,150000000.0,18150000000.0,0.4,0.9,1.0,0.8480625,15517334375.0,0.7632562500000001,4.918733021759738
31,Germany,Germany N-11.2,Central,Fixed,2024,1.5,,core,75000000.0,30000000000.0,400000000.0,30400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,23642758333.333332,1.1628828125,4.918558131436299
28,Germany,Germany N-9.3,Central,Fixed,2024,1.5,,core,75000000.0,30000000000.0,400000000.0,30400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,23642758333.333332,1.1628828125,4.918558131436299
40,Belgium,Princess Elisabeth 3,Central,Fixed,2025,1.4,,adjacent,100000000.0,28000000000.0,400000000.0,28400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,22117247916.666664,1.0853572916666665,4.907289079346915
39,Belgium,Princess Elisabeth 2,Central,Fixed,2025,1.4,,adjacent,100000000.0,28000000000.0,400000000.0,28400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,22117247916.666664,1.0853572916666665,4.907289079346915
38,Netherlands,IJmuiden (Noord) Ver VII,Central,Fixed,2025,1.0,,core,75000000.0,20000000000.0,300000000.0,20300000000.0,0.675,0.8,1.0,0.8238203125,16798552343.75,0.8238203125,4.9041149239654995
15,Netherlands,IJmuiden Ver I,Central,Fixed,2023,1.0,,core,75000000.0,20000000000.0,300000000.0,20300000000.0,0.675,0.8,1.0,0.8238203125,16798552343.75,0.8238203125,4.9041149239654995
16,Netherlands,IJmuiden Ver II,Central,Fixed,2023,1.0,,core,75000000.0,20000000000.0,300000000.0,20300000000.0,0.675,0.8,1.0,0.8238203125,16798552343.75,0.8238203125,4.9041149239654995
17,Netherlands,IJmuiden Ver III,Central,Fixed,2023,1.0,,core,75000000.0,20000000000.0,300000000.0,20300000000.0,0.675,0.8,1.0,0.8238203125,16798552343.75,0.8238203125,4.9041149239654995
18,Netherlands,IJmuiden Ver IV,Central,Fixed,2023,1.0,,core,75000000.0,20000000000.0,300000000.0,20300000000.0,0.675,0.8,1.0,0.8238203125,16798552343.75,0.8238203125,4.9041149239654995
37,Netherlands,IJmuiden (Noord) Ver V,Central,Fixed,2025,1.0,,core,75000000.0,20000000000.0,300000000.0,20300000000.0,0.675,0.8,1.0,0.8238203125,16798552343.75,0.8238203125,4.9041149239654995
14,France,Round 10,Central,Fixed,2023,1.0,,adjacent,100000000.0,20000000000.0,350000000.0,20350000000.0,0.7000000000000001,0.7,1.0,0.76309375,15628957812.5,0.76309375,4.882563246729603
44,France,Round 12,Central,Fixed,2025,1.0,,adjacent,100000000.0,20000000000.0,350000000.0,20350000000.0,0.7000000000000001,0.7,1.0,0.76309375,15628957812.5,0.76309375,4.882563246729603
6,Germany,Germany O-2.2,Central,Fixed,2023,1.0,,core,75000000.0,20000000000.0,400000000.0,20400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,15890206249.999998,0.7752552083333333,4.878824076517782
30,Germany,Germany N-12.3,Central,Fixed,2024,1.0,,core,75000000.0,20000000000.0,400000000.0,20400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,15890206249.999998,0.7752552083333333,4.878824076517782
19,Belgium,PEZ,Central,Fixed,2023,1.0,,adjacent,100000000.0,20000000000.0,400000000.0,20400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,15915206249.999998,0.7752552083333333,4.871160298870355
20,Portugal,Portugal Tender,Lease,Fixed,2023,7.0,You can assume only 20% of the tendered capacity can be expected to be won by any given developer,new,1000000000.0,28000000000.0,0.0,28000000000.0,1.0,1.0,1.0,1.0,29000000000.0,1.4000000000000001,4.8275862068965525
7,Germany,Germany N-6.6,Central,Fixed,2023,0.6,,core,75000000.0,12000000000.0,400000000.0,12400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,9688164583.333332,0.46515312499999995,4.801251268998966
35,Germany,Germany N-10.2,Central,Fixed,2025,0.5,,core,75000000.0,10000000000.0,400000000.0,10400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,8137654166.666666,0.38762760416666664,4.76338261896728
10,Germany,Germany N-3.6,Central,Fixed,2023,0.5,,core,75000000.0,10000000000.0,400000000.0,10400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,8137654166.666666,0.38762760416666664,4.76338261896728
9,Germany,Germany N-3.5,Central,Fixed,2023,0.4,,core,75000000.0,8000000000.0,400000000.0,8400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,6587143750.0,0.31010208333333333,4.707686595321885
8,Germany,Germany N-6.7,Central,Fixed,2023,0.3,,core,75000000.0,6000000000.0,400000000.0,6400000000.0,0.7833333333333333,0.7,1.0,0.7752552083333333,5036633333.333333,0.23257656249999997,4.61769890932435
23,Norway,Sørlige Nordsjø II,Lease,Fixed,2023,3.0,You can assume only 20% of the tendered capacity can be expected to be won by any given developer,adjacent,1000000000.0,12000000000.0,0.0,12000000000.0,1.0,1.0,1.0,1.0,13000000000.0,0.6000000000000001,4.615384615384616
